poll_id,date,title,topics,committees,drucksache_pdf,intro
652,2006-05-19,Erhöhung der Mehrwertsteuer,"Öffentliche Finanzen, Steuern und Abgaben|Wirtschaft",,,"Die Erhöhung der Mehrwertsteuer wurde mit Stimmen von Union und SPD beschlossen. Drei SPD-Abgeordnete stimmten ebenso wie die Fraktionen von FDP, Linkspartei und Grünen gegen das Gesetz."
658,2006-06-01,Bundeswehreinsatz im Kongo,Verteidigung,,,Der Bundestag hat eine Beteiligung deutscher Soldaten zum Schutz der ersten freien Wahlen in der Demokratischen Republik Kongo beschlossen. Seitens der Regierungskoalition votierte eine große Mehrheit der Abgeordneten für die Entsendung. Unterstützt wurde der Regierungsantrag auch von einer Mehrheit der Bündnis 90/Die Grünen-Fraktion und den beiden FDP-Politikern Markus Löning und Marina Schuster. Als einzige Fraktion stimmte Die Linke geschlossen dagegen.
660,2006-06-01,Anpassung und Veränderung von Hartz IV,"Arbeit und Beschäftigung|Gesellschaftspolitik, soziale Gruppen",,,"(Gesetz zur Fortentwicklung der Grundsicherung für Arbeitssuchende) Mit den Stimmen von CDU/CSU und SPD hat der Bundestag eine Verschärfung des sog. Hartz IV-Gesetzes beschlossen. Als einziger Abgeordneter der Koalitionsfraktionen stimmte Ottmar Schreiner von der SPD gegen das Gesetz, 14 weitere Sozialdemokraten enthielten sich. FDP, Grüne und Die Linke stimmten geschlossen mit Nein."
654,2006-06-29,Antidiskriminierungsgesetz,"Gesellschaftspolitik, soziale Gruppen|Recht",,,"Das Allgemeine Gleichbehandlungsgesetz (AGG), oft auch Antidiskriminierungsgesetz genannt, stand am 29. Juni 2006 zur Abstimmung im Bundestag. Die Fraktionen von SPD und Bündnis 90/Die Grünen votierten geschlossen für den Gesetzentwurf, von der CDU/CSU-Fraktion gab es 18 Nein-Stimmen. Die FDP-Fraktion lehnte das AGG geschlossen ab. Bei der Fraktion Die Linke gab es Ablehnungen und Enthaltungen."
655,2006-06-30,Föderalismusreform,Bundestag|Recht|Staat und Verwaltung,,,"Mit der notwendigen Zweidrittelmehrheit hat der Bundestag die umfassendste Grundgesetzänderung seit 1949 beschlossen. Manfred Kolbe von der CDU und 15 SPD-Politiker folgten der Mehrheit ihrer Fraktionen nicht und lehnten den Entwurf ab. Auch FDP, Grüne und Die Linke verweigerten der Föderalismusreform ihre Zustimmung."
661,2006-09-28,Verlängerung des Afghanistan-Einsatzes (ISAF),Verteidigung,,,"Um ein weiteres Jahr werden Bundeswehrsoldaten im Rahmen des ISAF-Einsatzes in Afghanistan stationiert sein. Mit großer Mehrheit stimmte der Bundestag für die Mandatsverlängerung bis zum 13. Oktober 2007. Eine kleine Gruppe von CDU/CSU- und SPD-Abgeordneten lehnte den Antrag ab, ebenso die gesamte Linksfraktion. Eine Mehrheit von FDP und Grüne stimmte dafür."
663,2006-10-26,EU-Beitritt Bulgariens und Rumäniens,Außenpolitik und internationale Beziehungen|Europapolitik und Europäische Union,,,Am 26. Oktober 2006 stimmte der Bundestag mit großer Mehrheit für den Beitritt Bulgariens und Rumäniens zur Europäischen Union. Die meisten Gegenstimmen kamen von der CSU.
659,2006-11-10,Verlängerung des Anti-Terror-Einsatzes (OEF),Verteidigung,,,"Um weitere 12 Monate hat der Deutsche Bundestag den bewaffneten Einsatz deutscher Soldaten im Rahmen der Operation „Enduring Freedom“ (OEF) verlängert. Aus der CDU/CSU stimmten 10 Abgeordnete anders als die Mehrheit ihrer Fraktion, bei der SPD waren es 16 Abgeordnete. Als einzige Fraktion lehnte Die Linke den Antrag geschlossen ab. „Enduring Freedom“ ist eine Reaktion auf die terroristischen Angriffe vom 11. September 2001."
662,2007-02-02,Gesundheitsreform,"Gesundheit|Öffentliche Finanzen, Steuern und Abgaben",,,"Mit 378 Ja-Stimmen hat der Bundestag der umstrittenen Gesundheitsreform zugestimmt. Die Opposition stimmte geschlossen dagegen, mit ihr auch 23 Abgeordnete von CDU/CSU und 20 Abgeordnete der SPD-Fraktion."
664,2007-03-09,Tornado-Einsatz,Verteidigung,,,"Mit großer Mehrheit hat der Bundestag dem Tornado-Einsatz in Afghanistan zugestimmt. Gegenstimmen gab es in allen Fraktionen, vor allem bei der SPD. Als einzige Fraktion votierte Die Linke geschlossen mit Nein. Zwei Eilanträge an das Bundesverfassungsgericht, die den Einsatz stoppen sollten, hatten keinen Erfolg."
